17000,0,815,738
17000,0,871,734
17000,0,815,712
17000,0,815,700
17000,0,813,746
17000,0,815,816
17000,0,807,790
17000,0,811,834
17000,0,795,910
17000,0,809,1044
17000,0,816,1156
17000,0,815,1266
17000,0,799,1352
17000,0,799,1442
17000,0,810,1506
17000,0,803,1596
17000,0,817,1663
17000,0,815,1736
17000,0,799,1794
17000,0,816,1892
17000,0,765,1968
17000,0,813,2046
17000,0,807,2125
17000,0,799,2204
17000,0,851,2285
17000,0,815,2392
17000,0,811,2524
17000,0,847,2700
17000,0,807,2856
17000,0,807,3018
17000,0,815,3186
17000,0,817,3362
17000,0,846,3551
17000,0,812,3744
17000,0,806,3948
17000,0,812,4139
17000,0,810,4331
17000,0,814,4549
17000,0,815,4772
17000,0,819,4940
17000,0,807,5139
17000,0,839,5342
17000,0,819,5526
17000,0,847,5758
17000,0,775,5965
17000,0,799,6164
17000,0,823,6376
17000,0,975,6542
17000,0,1183,6684
17000,0,1431,6777
17000,0,1623,6872
17000,0,1898,6963
17000,0,2295,7026
17000,0,2735,7054
17000,0,3243,7087
17000,0,3704,7082
17000,0,4302,7085
17000,0,5247,6927
17000,0,5931,6659
17000,0,6846,6318
17000,0,7810,5948
17000,0,8839,5453
17000,0,9772,4862
17000,0,10490,4205
17000,0,11605,3591
17000,0,12326,3062
17000,0,13204,2594
17000,0,13703,2262
17000,0,14080,2069
17000,0,14350,2030
17000,0,14533,1984
17000,0,14630,2013
17000,0,14592,2020
17000,0,14432,2044
17000,0,14229,2185
17000,0,13824,2490
17000,0,13616,2908
17000,0,13172,3361
17000,0,12648,3824
17000,0,11916,4415
17000,0,11192,5030
17000,0,10813,5624
17000,0,9859,6130
17000,0,9278,6335
17000,0,8761,6458
17000,0,8228,6625
17000,0,7758,6861
17000,0,7423,7089
17000,0,7251,7327
17000,0,6981,7453
17000,0,6943,7464
17000,0,6906,7464
17000,0,6965,7465
17000,0,7121,7468
17000,0,7451,7394
17000,0,7734,7190
17000,0,8080,6911
17000,0,8533,6601
17000,0,9048,6236
17000,0,9619,5812
17000,0,10078,5347
17000,0,10385,4865
17000,0,11218,4428
17000,0,11716,4025
17000,0,12022,3754
17000,0,12280,3616
17000,0,12571,3500
17000,0,12820,3456
17000,0,12956,3480
17000,0,13040,3570
17000,0,13004,3773
17000,0,12992,4044
17000,0,12872,4335
17000,0,12747,4604
17000,0,12520,4854
17000,0,12290,5096
17000,0,12114,5336
17000,0,12008,5566
17000,0,11821,5716
17000,0,11667,5740
17000,0,11604,5727
17000,0,11465,5700
17000,0,11403,5651
17000,0,11392,5570
17000,0,11382,5519
17000,0,11340,5425
17000,0,11370,5456
17000,0,11410,545
